Ano Emissão;Entrada/Saída;Município Destinatário;CNAE (C);Descrição do CNAE;CNAE (Divisão);CNAE (Grupo);CNAE (Classe);NCM Produto;NCM (Capítulo);NCM (Posição);NCM (Subposição);CFOP;Descrição CFOP;CFOP (1);CFOP (2);Total Bruto Produtos;NCM (Capítulo) Desc;NCM (Posição) Desc
2018;0 - entrada;ABAETETUBA;1622699;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1622699;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1813099;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1813099;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2330301;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2330301;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2342702;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2391503;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2539001;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2592601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2592601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2592601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2592601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2592601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2592601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2592601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2861500;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;2861500;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3299003;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3299099;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3299099;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3313901;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3313901;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3313901;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3313901;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3313901;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3314713;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3832700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3832700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;3832700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;4120400;;;;;;;;;;;;;;;
